node,lon,lat,imbalance
0,-97.87700677,30.5175244,0
1,-97.65818493,30.44288075,0
2,-97.80120551,30.38502955,0
3,-97.94645975,30.37688715,0
4,-98.00574981,30.38239684,0
5,-97.82831259,30.43488045,0
6,-97.69551141,30.25838403,0
7,-97.7409438,30.41603195,0
8,-97.7179733,30.3555177,0
9,-97.76721619,30.27634122,0
10,-97.58260641,30.36969679,0
11,-97.94567157,30.62434298,0
12,-97.80604466,30.50573263,0
13,-97.76192886,30.3008325,0
14,-97.90111619,30.54064186,0
15,-97.72129313,30.28758814,0
16,-97.71111802,30.35908522,0
17,-97.77885551,30.21900034,0
18,-97.79878427,30.22680285,0
19,-97.7394914,30.21782957,0
20,-97.81633094,30.5343721,0
21,-97.66410498,30.52512558,0
22,-97.77087497,30.28459561,0
23,-97.56655204,30.47738083,0
24,-97.69523694,30.32439099,0
25,-98.0231861,30.42065843,0
26,-97.82982422,30.13541947,0
27,-98.00370422,30.3648142,0
28,-97.87592596,30.14460509,0
29,-97.73371188,30.33873321,0
30,-97.5852209,30.24444586,0
31,-97.73656211,30.42527653,0
32,-97.94955294,30.37535478,0
33,-97.77741076,30.29316688,0
34,-97.72973275,30.25618586,0
35,-97.69163771,30.34796445,0
36,-97.69166752,30.41699153,0
37,-97.63436967,30.47887052,0
38,-98.024863,30.21905391,0
39,-97.93116986,30.42773965,0
40,-97.91138917,30.19385297,0
41,-97.73867753,30.49970662,0
42,-97.80042976,30.27439762,0
43,-97.94447742,30.4981921,0
44,-97.84810071,30.5239155,0
45,-97.67667918,30.42679418,0
46,-97.85307006,30.48438817,0
47,-97.80156715,30.27528014,0
48,-97.83432563,30.20578504,0
49,-97.74453734,30.28930569,0
50,-97.61600579,30.44176513,0
51,-97.75630503,30.20035518,0
52,-97.7065521,30.52831079,0
53,-97.83610821,30.24559987,0
54,-97.74351541,30.48953575,0
55,-97.62779045,30.45597099,0
56,-97.80064571,30.32470656,0
57,-97.43530118,30.3451658,0
58,-97.82793197,30.50045412,0
59,-97.99773922,30.38232608,0
60,-97.93113966,30.46916658,0
61,-97.95989976,30.33552525,0
62,-97.63381546,30.46481288,0
63,-97.73531549,30.40708468,0
64,-97.81309772,30.51852402,0
65,-97.85424696,30.47092464,0
66,-97.91928742,30.41308781,0
67,-97.61491693,30.36174481,0
68,-97.70164412,30.35189695,0
69,-97.84442572,30.25251917,0
70,-97.74335279,30.3220824,0
71,-97.79707995,30.45039765,0
72,-97.70589418,30.35749586,0
73,-97.62053547,30.43566205,0
74,-97.68318593,30.45071529,0
75,-97.87389926,30.3425135,0
76,-97.89283121,30.18987791,0
77,-97.67537149,30.38290765,0
78,-97.70397034,30.05844456,0
79,-97.76927892,30.3193884,0
80,-97.67635213,30.51448786,0
81,-97.79525119,30.43540245,0
82,-97.65253247,30.20985739,0
83,-97.72417981,30.25486548,0
84,-97.78768696,30.35596605,0
85,-97.68609755,30.30960861,0
86,-97.91056002,30.38367875,0
87,-97.62564021,30.43562585,0
88,-98.00095664,30.2088815,0
89,-97.68074593,30.40355073,0
90,-97.8066327,30.42782158,0
91,-97.80746396,30.21563235,0
92,-97.70383289,30.22713842,0
93,-97.71828082,30.27088979,0
94,-97.89687264,30.37511096,0
95,-97.78504175,30.20517678,0
96,-97.52839522,30.30080901,0
97,-97.61138695,30.5175229,0
98,-97.69070234,30.20983518,0
99,-97.74221758,30.20080345,0
100,-97.670972,30.49178189,0
101,-97.74539741,30.44605346,0
102,-97.80359079,30.42239728,0
103,-97.77026949,30.14188508,0
104,-97.92709145,30.49946396,0
105,-97.73868142,30.15541003,0
106,-97.79087627,30.4628718,0
107,-97.92694896,30.1899695,0
